Using MPS device for macOS
Using device: mps
Episode 1/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.999 | LOSE | MEMORY_SIZE: 1 | SEED: 597
Episode 2/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 0.998 | LOSE | MEMORY_SIZE: 3 | SEED: 597
Episode 3/3000 | Total reward: 18.20 | Avg loss: 0.0000 | Epsilon: 0.997 | LOSE | MEMORY_SIZE: 6 | SEED: 597
Episode 4/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 0.996 | LOSE | MEMORY_SIZE: 8 | SEED: 597
Episode 5/3000 | Total reward: 17.30 | Avg loss: 0.0000 | Epsilon: 0.995 | LOSE | MEMORY_SIZE: 12 | SEED: 597
Episode 6/3000 | Total reward: 18.20 | Avg loss: 0.0000 | Epsilon: 0.994 | LOSE | MEMORY_SIZE: 15 | SEED: 597
Episode 7/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 0.993 | LOSE | MEMORY_SIZE: 17 | SEED: 597
Episode 8/3000 | Total reward: 6.40 | Avg loss: 0.0000 | Epsilon: 0.992 | LOSE | MEMORY_SIZE: 22 | SEED: 597
Episode 9/3000 | Total reward: 7.30 | Avg loss: 0.0000 | Epsilon: 0.991 | LOSE | MEMORY_SIZE: 26 | SEED: 597
Episode 10/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.990 | LOSE | MEMORY_SIZE: 27 | SEED: 597
Episode 11/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 0.989 | LOSE | MEMORY_SIZE: 29 | SEED: 597
Episode 12/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.988 | LOSE | MEMORY_SIZE: 31 | SEED: 597
Episode 13/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.987 | LOSE | MEMORY_SIZE: 33 | SEED: 597
Episode 14/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.986 | LOSE | MEMORY_SIZE: 34 | SEED: 597
Episode 15/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.985 | LOSE | MEMORY_SIZE: 36 | SEED: 597
Episode 16/3000 | Total reward: 18.20 | Avg loss: 0.0000 | Epsilon: 0.984 | LOSE | MEMORY_SIZE: 39 | SEED: 597
Episode 17/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.983 | LOSE | MEMORY_SIZE: 40 | SEED: 597
Episode 18/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.982 | LOSE | MEMORY_SIZE: 41 | SEED: 597
Episode 19/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.981 | LOSE | MEMORY_SIZE: 43 | SEED: 597
Episode 20/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.980 | LOSE | MEMORY_SIZE: 44 | SEED: 597
Episode 21/3000 | Total reward: 24.60 | Avg loss: 0.0000 | Epsilon: 0.979 | LOSE | MEMORY_SIZE: 51 | SEED: 597
Episode 22/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.978 | LOSE | MEMORY_SIZE: 53 | SEED: 597
Episode 23/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 0.977 | LOSE | MEMORY_SIZE: 55 | SEED: 597
Episode 24/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.976 | LOSE | MEMORY_SIZE: 56 | SEED: 597
Episode 25/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.975 | LOSE | MEMORY_SIZE: 57 | SEED: 597
Episode 26/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.974 | LOSE | MEMORY_SIZE: 58 | SEED: 597
Episode 27/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 0.973 | LOSE | MEMORY_SIZE: 60 | SEED: 597
Episode 28/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.972 | LOSE | MEMORY_SIZE: 62 | SEED: 597
Episode 29/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.971 | LOSE | MEMORY_SIZE: 63 | SEED: 597
Episode 30/3000 | Total reward: 0.00 | Avg loss: 25.2567 | Epsilon: 0.970 | LOSE | MEMORY_SIZE: 64 | SEED: 597
Episode 31/3000 | Total reward: 17.30 | Avg loss: 26.1723 | Epsilon: 0.969 | LOSE | MEMORY_SIZE: 68 | SEED: 597
Episode 32/3000 | Total reward: 0.00 | Avg loss: 26.4483 | Epsilon: 0.968 | LOSE | MEMORY_SIZE: 69 | SEED: 597
Episode 33/3000 | Total reward: 0.00 | Avg loss: 26.4277 | Epsilon: 0.968 | LOSE | MEMORY_SIZE: 70 | SEED: 597
Episode 34/3000 | Total reward: 0.00 | Avg loss: 23.7465 | Epsilon: 0.967 | LOSE | MEMORY_SIZE: 71 | SEED: 597
Episode 35/3000 | Total reward: 7.30 | Avg loss: 25.5420 | Epsilon: 0.966 | LOSE | MEMORY_SIZE: 75 | SEED: 597
Episode 36/3000 | Total reward: 15.50 | Avg loss: 22.9003 | Epsilon: 0.965 | LOSE | MEMORY_SIZE: 81 | SEED: 597
Episode 37/3000 | Total reward: 0.00 | Avg loss: 20.6222 | Epsilon: 0.964 | LOSE | MEMORY_SIZE: 82 | SEED: 597
Episode 38/3000 | Total reward: 0.00 | Avg loss: 21.8120 | Epsilon: 0.963 | LOSE | MEMORY_SIZE: 83 | SEED: 597
Episode 39/3000 | Total reward: 0.00 | Avg loss: 23.1352 | Epsilon: 0.962 | LOSE | MEMORY_SIZE: 84 | SEED: 597
Episode 40/3000 | Total reward: 9.10 | Avg loss: 23.6477 | Epsilon: 0.961 | LOSE | MEMORY_SIZE: 86 | SEED: 597
Episode 41/3000 | Total reward: -0.90 | Avg loss: 24.1776 | Epsilon: 0.960 | LOSE | MEMORY_SIZE: 88 | SEED: 597
Episode 42/3000 | Total reward: 0.00 | Avg loss: 20.2932 | Epsilon: 0.959 | LOSE | MEMORY_SIZE: 89 | SEED: 597
Episode 43/3000 | Total reward: 8.20 | Avg loss: 23.2055 | Epsilon: 0.958 | LOSE | MEMORY_SIZE: 92 | SEED: 597
Episode 44/3000 | Total reward: 0.00 | Avg loss: 22.7301 | Epsilon: 0.957 | LOSE | MEMORY_SIZE: 93 | SEED: 597
Episode 45/3000 | Total reward: 0.00 | Avg loss: 21.3974 | Epsilon: 0.956 | LOSE | MEMORY_SIZE: 94 | SEED: 597
Episode 46/3000 | Total reward: 27.30 | Avg loss: 23.3210 | Epsilon: 0.955 | LOSE | MEMORY_SIZE: 98 | SEED: 597
Episode 47/3000 | Total reward: -0.90 | Avg loss: 20.3658 | Epsilon: 0.954 | LOSE | MEMORY_SIZE: 100 | SEED: 597
Episode 48/3000 | Total reward: 18.20 | Avg loss: 21.1995 | Epsilon: 0.953 | LOSE | MEMORY_SIZE: 103 | SEED: 597
Episode 49/3000 | Total reward: 9.10 | Avg loss: 26.5389 | Epsilon: 0.952 | LOSE | MEMORY_SIZE: 105 | SEED: 597
Episode 50/3000 | Total reward: 18.20 | Avg loss: 21.8554 | Epsilon: 0.951 | LOSE | MEMORY_SIZE: 108 | SEED: 597
Episode 51/3000 | Total reward: 9.10 | Avg loss: 22.9641 | Epsilon: 0.950 | LOSE | MEMORY_SIZE: 110 | SEED: 597
Episode 52/3000 | Total reward: 18.20 | Avg loss: 25.9542 | Epsilon: 0.949 | LOSE | MEMORY_SIZE: 113 | SEED: 597
Episode 53/3000 | Total reward: 6.40 | Avg loss: 25.5711 | Epsilon: 0.948 | LOSE | MEMORY_SIZE: 118 | SEED: 597
Episode 54/3000 | Total reward: 0.00 | Avg loss: 23.7960 | Epsilon: 0.947 | LOSE | MEMORY_SIZE: 119 | SEED: 597
Episode 55/3000 | Total reward: 0.00 | Avg loss: 20.0594 | Epsilon: 0.946 | LOSE | MEMORY_SIZE: 120 | SEED: 597
Episode 56/3000 | Total reward: 0.00 | Avg loss: 21.6968 | Epsilon: 0.946 | LOSE | MEMORY_SIZE: 121 | SEED: 597
Episode 57/3000 | Total reward: 0.00 | Avg loss: 19.3988 | Epsilon: 0.945 | LOSE | MEMORY_SIZE: 122 | SEED: 597
Episode 58/3000 | Total reward: -0.90 | Avg loss: 20.3124 | Epsilon: 0.944 | LOSE | MEMORY_SIZE: 124 | SEED: 597
Episode 59/3000 | Total reward: 17.30 | Avg loss: 19.8328 | Epsilon: 0.943 | LOSE | MEMORY_SIZE: 128 | SEED: 597
Episode 60/3000 | Total reward: 0.00 | Avg loss: 18.0963 | Epsilon: 0.942 | LOSE | MEMORY_SIZE: 129 | SEED: 597
Episode 61/3000 | Total reward: 8.20 | Avg loss: 17.7803 | Epsilon: 0.941 | LOSE | MEMORY_SIZE: 132 | SEED: 597
Episode 62/3000 | Total reward: 0.00 | Avg loss: 16.8471 | Epsilon: 0.940 | LOSE | MEMORY_SIZE: 133 | SEED: 597
Episode 63/3000 | Total reward: 0.00 | Avg loss: 17.9399 | Epsilon: 0.939 | LOSE | MEMORY_SIZE: 134 | SEED: 597
Episode 64/3000 | Total reward: 17.30 | Avg loss: 14.7783 | Epsilon: 0.938 | LOSE | MEMORY_SIZE: 138 | SEED: 597
Episode 65/3000 | Total reward: 0.00 | Avg loss: 13.8672 | Epsilon: 0.937 | LOSE | MEMORY_SIZE: 139 | SEED: 597
Episode 66/3000 | Total reward: 9.10 | Avg loss: 12.8709 | Epsilon: 0.936 | LOSE | MEMORY_SIZE: 141 | SEED: 597
Episode 67/3000 | Total reward: 8.20 | Avg loss: 10.4190 | Epsilon: 0.935 | LOSE | MEMORY_SIZE: 144 | SEED: 597
Episode 68/3000 | Total reward: -0.90 | Avg loss: 9.8362 | Epsilon: 0.934 | LOSE | MEMORY_SIZE: 146 | SEED: 597
Episode 69/3000 | Total reward: 0.00 | Avg loss: 8.0734 | Epsilon: 0.933 | LOSE | MEMORY_SIZE: 147 | SEED: 597
Episode 70/3000 | Total reward: 0.00 | Avg loss: 7.4072 | Epsilon: 0.932 | LOSE | MEMORY_SIZE: 148 | SEED: 597
Episode 71/3000 | Total reward: 0.00 | Avg loss: 7.7395 | Epsilon: 0.931 | LOSE | MEMORY_SIZE: 149 | SEED: 597
Episode 72/3000 | Total reward: 0.00 | Avg loss: 8.5437 | Epsilon: 0.930 | LOSE | MEMORY_SIZE: 150 | SEED: 597
Episode 73/3000 | Total reward: -0.90 | Avg loss: 6.5857 | Epsilon: 0.930 | LOSE | MEMORY_SIZE: 152 | SEED: 597
Episode 74/3000 | Total reward: 0.00 | Avg loss: 6.0309 | Epsilon: 0.929 | LOSE | MEMORY_SIZE: 153 | SEED: 597
Episode 75/3000 | Total reward: 5.50 | Avg loss: 5.5521 | Epsilon: 0.928 | LOSE | MEMORY_SIZE: 159 | SEED: 597
Episode 76/3000 | Total reward: 0.00 | Avg loss: 7.8402 | Epsilon: 0.927 | LOSE | MEMORY_SIZE: 160 | SEED: 597
Episode 77/3000 | Total reward: 9.10 | Avg loss: 4.9227 | Epsilon: 0.926 | LOSE | MEMORY_SIZE: 162 | SEED: 597
Episode 78/3000 | Total reward: 0.00 | Avg loss: 5.8289 | Epsilon: 0.925 | LOSE | MEMORY_SIZE: 163 | SEED: 597
Episode 79/3000 | Total reward: -0.90 | Avg loss: 5.1473 | Epsilon: 0.924 | LOSE | MEMORY_SIZE: 165 | SEED: 597
Episode 80/3000 | Total reward: 17.30 | Avg loss: 4.4194 | Epsilon: 0.923 | LOSE | MEMORY_SIZE: 169 | SEED: 597
Episode 81/3000 | Total reward: 17.30 | Avg loss: 5.1136 | Epsilon: 0.922 | LOSE | MEMORY_SIZE: 173 | SEED: 597
Episode 82/3000 | Total reward: 0.00 | Avg loss: 2.7905 | Epsilon: 0.921 | LOSE | MEMORY_SIZE: 174 | SEED: 597
Episode 83/3000 | Total reward: -0.90 | Avg loss: 8.2167 | Epsilon: 0.920 | LOSE | MEMORY_SIZE: 176 | SEED: 597
Episode 84/3000 | Total reward: 7.30 | Avg loss: 4.6842 | Epsilon: 0.919 | LOSE | MEMORY_SIZE: 180 | SEED: 597
Episode 85/3000 | Total reward: 17.30 | Avg loss: 7.1000 | Epsilon: 0.918 | LOSE | MEMORY_SIZE: 184 | SEED: 597
Episode 86/3000 | Total reward: 0.00 | Avg loss: 6.7963 | Epsilon: 0.918 | LOSE | MEMORY_SIZE: 185 | SEED: 597
Episode 87/3000 | Total reward: 9.10 | Avg loss: 6.3042 | Epsilon: 0.917 | LOSE | MEMORY_SIZE: 187 | SEED: 597
Episode 88/3000 | Total reward: 0.00 | Avg loss: 4.6858 | Epsilon: 0.916 | LOSE | MEMORY_SIZE: 188 | SEED: 597
Episode 89/3000 | Total reward: 0.00 | Avg loss: 8.6515 | Epsilon: 0.915 | LOSE | MEMORY_SIZE: 189 | SEED: 597
Episode 90/3000 | Total reward: 8.20 | Avg loss: 6.9456 | Epsilon: 0.914 | LOSE | MEMORY_SIZE: 192 | SEED: 597
Episode 91/3000 | Total reward: 0.00 | Avg loss: 6.6422 | Epsilon: 0.913 | LOSE | MEMORY_SIZE: 193 | SEED: 597
Episode 92/3000 | Total reward: 27.30 | Avg loss: 6.3434 | Epsilon: 0.912 | LOSE | MEMORY_SIZE: 197 | SEED: 597
Episode 93/3000 | Total reward: 0.00 | Avg loss: 4.2137 | Epsilon: 0.911 | LOSE | MEMORY_SIZE: 198 | SEED: 597
Episode 94/3000 | Total reward: 0.00 | Avg loss: 6.7679 | Epsilon: 0.910 | LOSE | MEMORY_SIZE: 199 | SEED: 597
