Using MPS device for macOS
Using device: mps
Episode 45/3000 | Total reward: 16.00 | Avg loss: 2.0774 | Epsilon: 0.798 | LOSE | MEMORY_SIZE: 101SEED: 597
Episode 46/3000 | Total reward: 8.00 | Avg loss: 2.4250 | Epsilon: 0.794 | LOSE | MEMORY_SIZE: 104SEED: 597
Episode 47/3000 | Total reward: 18.00 | Avg loss: 1.8641 | Epsilon: 0.790 | LOSE | MEMORY_SIZE: 107SEED: 597
Episode 48/3000 | Total reward: 9.00 | Avg loss: 1.6312 | Epsilon: 0.786 | LOSE | MEMORY_SIZE: 109SEED: 597
Episode 49/3000 | Total reward: 18.00 | Avg loss: 1.3784 | Epsilon: 0.782 | LOSE | MEMORY_SIZE: 112SEED: 597
Episode 50/3000 | Total reward: 9.00 | Avg loss: 1.4605 | Epsilon: 0.778 | LOSE | MEMORY_SIZE: 114SEED: 597
Episode 51/3000 | Total reward: 7.00 | Avg loss: 2.0363 | Epsilon: 0.774 | LOSE | MEMORY_SIZE: 118SEED: 597
Episode 52/3000 | Total reward: 24.00 | Avg loss: 16.1540 | Epsilon: 0.771 | LOSE | MEMORY_SIZE: 125SEED: 597
Episode 53/3000 | Total reward: 0.00 | Avg loss: 5.0770 | Epsilon: 0.767 | LOSE | MEMORY_SIZE: 126SEED: 597
Episode 54/3000 | Total reward: 0.00 | Avg loss: 3.7153 | Epsilon: 0.763 | LOSE | MEMORY_SIZE: 127SEED: 597
Episode 55/3000 | Total reward: 9.00 | Avg loss: 5.8533 | Epsilon: 0.759 | LOSE | MEMORY_SIZE: 129SEED: 597
Episode 56/3000 | Total reward: 17.00 | Avg loss: 7.4662 | Epsilon: 0.755 | LOSE | MEMORY_SIZE: 133SEED: 597
Episode 57/3000 | Total reward: 14.00 | Avg loss: 5.1099 | Epsilon: 0.751 | LOSE | MEMORY_SIZE: 140SEED: 597
Episode 58/3000 | Total reward: 0.00 | Avg loss: 6.9845 | Epsilon: 0.748 | LOSE | MEMORY_SIZE: 141SEED: 597
Episode 59/3000 | Total reward: 0.00 | Avg loss: 6.6064 | Epsilon: 0.744 | LOSE | MEMORY_SIZE: 142SEED: 597
Episode 60/3000 | Total reward: 7.00 | Avg loss: 5.3037 | Epsilon: 0.740 | LOSE | MEMORY_SIZE: 146SEED: 597
Episode 61/3000 | Total reward: 0.00 | Avg loss: 3.0538 | Epsilon: 0.737 | LOSE | MEMORY_SIZE: 147SEED: 597
Episode 62/3000 | Total reward: 9.00 | Avg loss: 295.4553 | Epsilon: 0.733 | LOSE | MEMORY_SIZE: 149SEED: 597
Episode 63/3000 | Total reward: 6.00 | Avg loss: 199.7355 | Epsilon: 0.729 | LOSE | MEMORY_SIZE: 154SEED: 597
Episode 64/3000 | Total reward: 0.00 | Avg loss: 118.3838 | Epsilon: 0.726 | LOSE | MEMORY_SIZE: 155SEED: 597
Episode 65/3000 | Total reward: 0.00 | Avg loss: 71.5477 | Epsilon: 0.722 | LOSE | MEMORY_SIZE: 156SEED: 597
Episode 66/3000 | Total reward: 0.00 | Avg loss: 73.3556 | Epsilon: 0.718 | LOSE | MEMORY_SIZE: 157SEED: 597
Episode 67/3000 | Total reward: 0.00 | Avg loss: 52.9772 | Epsilon: 0.715 | LOSE | MEMORY_SIZE: 158SEED: 597
Episode 68/3000 | Total reward: -1.00 | Avg loss: 21.4803 | Epsilon: 0.711 | LOSE | MEMORY_SIZE: 160SEED: 597
Episode 69/3000 | Total reward: 0.00 | Avg loss: 12.9571 | Epsilon: 0.708 | LOSE | MEMORY_SIZE: 161SEED: 597
Episode 70/3000 | Total reward: 0.00 | Avg loss: 16.9614 | Epsilon: 0.704 | LOSE | MEMORY_SIZE: 162SEED: 597
Episode 71/3000 | Total reward: 0.00 | Avg loss: 16.7257 | Epsilon: 0.701 | LOSE | MEMORY_SIZE: 163SEED: 597
Episode 72/3000 | Total reward: 0.00 | Avg loss: 884.0735 | Epsilon: 0.697 | LOSE | MEMORY_SIZE: 164SEED: 597
Episode 73/3000 | Total reward: 9.00 | Avg loss: 748.4251 | Epsilon: 0.694 | LOSE | MEMORY_SIZE: 166SEED: 597
Episode 74/3000 | Total reward: -2.00 | Avg loss: 474.5583 | Epsilon: 0.690 | LOSE | MEMORY_SIZE: 169SEED: 597
Episode 75/3000 | Total reward: 9.00 | Avg loss: 251.8594 | Epsilon: 0.687 | LOSE | MEMORY_SIZE: 171SEED: 597
Episode 76/3000 | Total reward: -1.00 | Avg loss: 244.5992 | Epsilon: 0.683 | LOSE | MEMORY_SIZE: 173SEED: 597
Episode 77/3000 | Total reward: 0.00 | Avg loss: 88.5441 | Epsilon: 0.680 | LOSE | MEMORY_SIZE: 174SEED: 597
Episode 78/3000 | Total reward: 16.00 | Avg loss: 110.7519 | Epsilon: 0.676 | LOSE | MEMORY_SIZE: 179SEED: 597
Episode 79/3000 | Total reward: 17.00 | Avg loss: 162.1657 | Epsilon: 0.673 | LOSE | MEMORY_SIZE: 183SEED: 597
Episode 80/3000 | Total reward: 0.00 | Avg loss: 95.8301 | Epsilon: 0.670 | LOSE | MEMORY_SIZE: 184SEED: 597
Episode 81/3000 | Total reward: -1.00 | Avg loss: 175.2513 | Epsilon: 0.666 | LOSE | MEMORY_SIZE: 186SEED: 597
Episode 82/3000 | Total reward: 0.00 | Avg loss: 3557.2280 | Epsilon: 0.663 | LOSE | MEMORY_SIZE: 187SEED: 597
Episode 83/3000 | Total reward: 0.00 | Avg loss: 3889.6343 | Epsilon: 0.660 | LOSE | MEMORY_SIZE: 188SEED: 597
Episode 84/3000 | Total reward: 8.00 | Avg loss: 3033.9492 | Epsilon: 0.656 | LOSE | MEMORY_SIZE: 191SEED: 597
Episode 85/3000 | Total reward: 9.00 | Avg loss: 2168.0765 | Epsilon: 0.653 | LOSE | MEMORY_SIZE: 193SEED: 597
Episode 86/3000 | Total reward: 9.00 | Avg loss: 1897.8460 | Epsilon: 0.650 | LOSE | MEMORY_SIZE: 195SEED: 597
Episode 87/3000 | Total reward: 44.00 | Avg loss: 1356.3227 | Epsilon: 0.647 | LOSE | MEMORY_SIZE: 202SEED: 597
Episode 88/3000 | Total reward: 9.00 | Avg loss: 566.5914 | Epsilon: 0.643 | LOSE | MEMORY_SIZE: 204SEED: 597
Episode 89/3000 | Total reward: 0.00 | Avg loss: 654.3871 | Epsilon: 0.640 | LOSE | MEMORY_SIZE: 205SEED: 597
Episode 90/3000 | Total reward: 27.00 | Avg loss: 647.5831 | Epsilon: 0.637 | LOSE | MEMORY_SIZE: 209SEED: 597
Episode 91/3000 | Total reward: 0.00 | Avg loss: 586.3051 | Epsilon: 0.634 | LOSE | MEMORY_SIZE: 210SEED: 597
Episode 92/3000 | Total reward: 0.00 | Avg loss: 21551.8711 | Epsilon: 0.631 | LOSE | MEMORY_SIZE: 211SEED: 597
Episode 93/3000 | Total reward: 17.00 | Avg loss: 19374.4097 | Epsilon: 0.627 | LOSE | MEMORY_SIZE: 215SEED: 597
Episode 94/3000 | Total reward: 0.00 | Avg loss: 13847.2188 | Epsilon: 0.624 | LOSE | MEMORY_SIZE: 216SEED: 597
Episode 95/3000 | Total reward: 0.00 | Avg loss: 12975.9824 | Epsilon: 0.621 | LOSE | MEMORY_SIZE: 217SEED: 597
Episode 96/3000 | Total reward: 8.00 | Avg loss: 12764.7087 | Epsilon: 0.618 | LOSE | MEMORY_SIZE: 220SEED: 597
Episode 97/3000 | Total reward: 0.00 | Avg loss: 9486.3750 | Epsilon: 0.615 | LOSE | MEMORY_SIZE: 221SEED: 597
Episode 98/3000 | Total reward: 9.00 | Avg loss: 8633.1548 | Epsilon: 0.612 | LOSE | MEMORY_SIZE: 223SEED: 597
Episode 99/3000 | Total reward: 31.00 | Avg loss: 4478.1124 | Epsilon: 0.609 | LOSE | MEMORY_SIZE: 233SEED: 597
Episode 100/3000 | Total reward: 0.00 | Avg loss: 1820.7057 | Epsilon: 0.606 | LOSE | MEMORY_SIZE: 234SEED: 597
--- Last 100 episodes ---
Avg reward: 6.36 | Avg loss: 1275.6818 | Win rate: 0.0% | Lose rate: 100.0%
-------------------------
Episode 101/3000 | Total reward: 25.00 | Avg loss: 3131.7831 | Epsilon: 0.603 | LOSE | MEMORY_SIZE: 240SEED: 597
Episode 102/3000 | Total reward: 9.00 | Avg loss: 3803.9003 | Epsilon: 0.600 | LOSE | MEMORY_SIZE: 242SEED: 597
Episode 103/3000 | Total reward: 0.00 | Avg loss: 5770.7773 | Epsilon: 0.597 | LOSE | MEMORY_SIZE: 243SEED: 597
Episode 104/3000 | Total reward: 13.00 | Avg loss: 4975.9578 | Epsilon: 0.594 | LOSE | MEMORY_SIZE: 251SEED: 597
Episode 105/3000 | Total reward: 8.00 | Avg loss: 3238.2237 | Epsilon: 0.591 | LOSE | MEMORY_SIZE: 254SEED: 597
Episode 106/3000 | Total reward: -1.00 | Avg loss: 2342.6802 | Epsilon: 0.588 | LOSE | MEMORY_SIZE: 256SEED: 597
