Using device: cpu
Episode 26/10000 | Total reward: 0.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.878 | LOSE | Len: 1 | MEMORY_SIZE: 57SEED: 597
Episode 27/10000 | Total reward: 0.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.873 | LOSE | Len: 1 | MEMORY_SIZE: 58SEED: 597
Episode 28/10000 | Total reward: 0.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.869 | LOSE | Len: 1 | MEMORY_SIZE: 59SEED: 597
Episode 29/10000 | Total reward: -1.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.865 | LOSE | Len: 2 | MEMORY_SIZE: 61SEED: 597
Episode 30/10000 | Total reward: 9.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.860 | LOSE | Len: 2 | MEMORY_SIZE: 63SEED: 597
Episode 31/10000 | Total reward: 0.00 | Avg loss: 23.8007 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.856 | LOSE | Len: 1 | MEMORY_SIZE: 64SEED: 597
Episode 32/10000 | Total reward: 0.00 | Avg loss: 21.6226 | Loss std: 0.0000 | Max Q: 0.13 | Min Q: -0.12 | Mean Q: -0.04 | Epsilon: 0.852 | LOSE | Len: 1 | MEMORY_SIZE: 65SEED: 597
Episode 33/10000 | Total reward: 8.00 | Avg loss: 14.7070 | Loss std: 2.3473 | Max Q: 0.18 | Min Q: -0.38 | Mean Q: -0.09 | Epsilon: 0.848 | LOSE | Len: 3 | MEMORY_SIZE: 68SEED: 597
Episode 34/10000 | Total reward: 9.00 | Avg loss: 10.1041 | Loss std: 0.7412 | Max Q: 0.62 | Min Q: -0.39 | Mean Q: 0.03 | Epsilon: 0.843 | LOSE | Len: 2 | MEMORY_SIZE: 70SEED: 597
Episode 35/10000 | Total reward: 0.00 | Avg loss: 6.5947 | Loss std: 0.0000 | Max Q: 0.59 | Min Q: -0.30 | Mean Q: 0.07 | Epsilon: 0.839 | LOSE | Len: 1 | MEMORY_SIZE: 71SEED: 597
Episode 36/10000 | Total reward: 0.00 | Avg loss: 5.4333 | Loss std: 0.0000 | Max Q: 0.66 | Min Q: -0.25 | Mean Q: 0.12 | Epsilon: 0.835 | LOSE | Len: 1 | MEMORY_SIZE: 72SEED: 597
Episode 37/10000 | Total reward: 36.00 | Avg loss: 3.6600 | Loss std: 0.5889 | Max Q: 1.78 | Min Q: -0.44 | Mean Q: 0.30 | Epsilon: 0.831 | LOSE | Len: 5 | MEMORY_SIZE: 77SEED: 597
Episode 38/10000 | Total reward: 35.00 | Avg loss: 2.2539 | Loss std: 0.7387 | Max Q: 2.49 | Min Q: -0.80 | Mean Q: 0.53 | Epsilon: 0.827 | LOSE | Len: 6 | MEMORY_SIZE: 83SEED: 597
Episode 39/10000 | Total reward: 0.00 | Avg loss: 2.0948 | Loss std: 0.0000 | Max Q: 1.55 | Min Q: -0.59 | Mean Q: 0.46 | Epsilon: 0.822 | LOSE | Len: 1 | MEMORY_SIZE: 84SEED: 597
