Using MPS device for macOS
Using device: mps
Episode 44/3000 | Total reward: 0.00 | Avg loss: 13.2626 | Epsilon: 0.957 | LOSE | MEMORY_SIZE: 93 | SEED: 597
Episode 45/3000 | Total reward: 0.00 | Avg loss: 12.2375 | Epsilon: 0.956 | LOSE | MEMORY_SIZE: 94 | SEED: 597
Episode 46/3000 | Total reward: 17.00 | Avg loss: 12.8366 | Epsilon: 0.955 | LOSE | MEMORY_SIZE: 98 | SEED: 597
Episode 47/3000 | Total reward: -1.00 | Avg loss: 10.0582 | Epsilon: 0.954 | LOSE | MEMORY_SIZE: 100 | SEED: 597
Episode 48/3000 | Total reward: 18.00 | Avg loss: 10.6978 | Epsilon: 0.953 | LOSE | MEMORY_SIZE: 103 | SEED: 597
Episode 49/3000 | Total reward: 9.00 | Avg loss: 12.2114 | Epsilon: 0.952 | LOSE | MEMORY_SIZE: 105 | SEED: 597
Episode 50/3000 | Total reward: 18.00 | Avg loss: 10.1354 | Epsilon: 0.951 | LOSE | MEMORY_SIZE: 108 | SEED: 597
Episode 51/3000 | Total reward: 9.00 | Avg loss: 9.7031 | Epsilon: 0.950 | LOSE | MEMORY_SIZE: 110 | SEED: 597
Episode 52/3000 | Total reward: 18.00 | Avg loss: 11.5608 | Epsilon: 0.949 | LOSE | MEMORY_SIZE: 113 | SEED: 597
Episode 53/3000 | Total reward: 6.00 | Avg loss: 10.0033 | Epsilon: 0.948 | LOSE | MEMORY_SIZE: 118 | SEED: 597
Episode 54/3000 | Total reward: 0.00 | Avg loss: 8.5507 | Epsilon: 0.947 | LOSE | MEMORY_SIZE: 119 | SEED: 597
Episode 55/3000 | Total reward: 0.00 | Avg loss: 6.9190 | Epsilon: 0.946 | LOSE | MEMORY_SIZE: 120 | SEED: 597
Episode 56/3000 | Total reward: 0.00 | Avg loss: 7.7333 | Epsilon: 0.946 | LOSE | MEMORY_SIZE: 121 | SEED: 597
Episode 57/3000 | Total reward: 0.00 | Avg loss: 7.0521 | Epsilon: 0.945 | LOSE | MEMORY_SIZE: 122 | SEED: 597
