episode,reward,avg_loss,loss_std,reward_std,win,lose,length,max_q,min_q,mean_q,epsilon
32,0,25.918649673461914,0.0,0.0,0,1,1,0.06032869,-0.032958645,0.0037030205,0.9694605362958227
33,0,25.896556854248047,0.0,0.0,0,1,1,0.058636196,-0.030985199,0.005546606,0.9684910757595269
34,0,23.275394439697266,0.0,0.0,0,1,1,0.05707132,-0.029001102,0.007412471,0.9675225846837673
35,7.0,25.028268337249756,0.7069690832826196,0.0,0,1,4,0.05586615,-0.026751278,0.012262031,0.9665550620990835
36,15.0,22.44984181722005,1.7369062889192224,0.0,0,1,6,0.08811281,-0.018289221,0.022647722,0.9655885070369844
37,0,20.224102020263672,0.0,0.0,0,1,1,0.095829,-0.009079289,0.03188084,0.9646229185299474
38,0,21.38116455078125,0.0,0.0,0,1,1,0.10228819,-0.0077411495,0.03445495,0.9636582956114175
39,0,22.679828643798828,0.0,0.0,0,1,1,0.10942897,-0.006383527,0.037155375,0.9626946373158061
40,9.0,23.17136573791504,1.8676624298095703,0.0,0,1,2,0.1272252,-0.007914593,0.040408146,0.9617319426784903
41,-1.0,23.688745498657227,1.2313480377197266,0.0,0,1,2,0.14364757,-0.008656902,0.047076862,0.9607702107358118
42,0,19.884206771850586,0.0,0.0,0,1,1,0.15349083,-0.009463964,0.051881153,0.959809440525076
43,8.0,22.737965901692707,4.035252404528495,0.0,0,1,3,0.18693176,-0.0136251785,0.05732008,0.9588496310845509
44,0,22.286842346191406,0.0,0.0,0,1,1,0.19800724,-0.013010526,0.06653156,0.9578907814534664
45,0,20.977733612060547,0.0,0.0,0,1,1,0.21060708,-0.014297995,0.07058467,0.9569328906720129
46,27.0,22.85463285446167,1.0582252822727634,0.0,0,1,4,0.2619713,-0.019455142,0.080000535,0.9559759577813409
47,-1.0,19.964404106140137,0.5965681076049805,0.0,0,1,2,0.3092618,-0.026480243,0.097401716,0.9550199818235596
48,18.0,20.771902084350586,1.5502102627596492,0.0,0,1,3,0.369194,-0.032384336,0.11199668,0.9540649618417361
49,9.0,25.99846649169922,1.2931194305419922,0.0,0,1,2,0.41949767,-0.03806857,0.1308567,0.9531108968798944
50,18.0,21.403731028238933,0.9523609932631473,0.0,0,1,3,0.511112,-0.05378098,0.15217777,0.9521577859830145
51,9.0,22.49672222137451,0.4673318862915039,0.0,0,1,2,0.5836019,-0.07030213,0.17816028,0.9512056281970315
52,18.0,25.396560033162434,2.8488729554315584,0.0,0,1,3,0.6925652,-0.08661194,0.20829669,0.9502544225688344
53,6.0,25.000881958007813,1.1761062328974692,0.0,0,1,5,0.9569026,-0.14196412,0.2680798,0.9493041681462656
54,0,23.25566864013672,0.0,0.0,0,1,1,1.02626,-0.15451294,0.32593527,0.9483548639781193
55,0,19.608503341674805,0.0,0.0,0,1,1,1.0911034,-0.16808291,0.34701848,0.9474065091141411
56,0,21.1943302154541,0.0,0.0,0,1,1,1.1589708,-0.18215887,0.36920017,0.946459102605027
57,0,18.940547943115234,0.0,0.0,0,1,1,1.2308772,-0.19694053,0.39246362,0.9455126435024219
58,-1.0,19.831954956054688,0.5985031127929688,0.0,0,1,2,1.3856478,-0.22987604,0.42977458,0.9445671308589195
59,17.0,19.346580266952515,2.5832859551976433,0.0,0,1,4,1.7144318,-0.30322176,0.51084274,0.9436225637280606
60,0,17.652015686035156,0.0,0.0,0,1,1,1.8489648,-0.3334793,0.593767,0.9426789411643326
61,8.0,17.330707550048828,1.47160803688905,0.0,0,1,3,2.178412,-0.40892845,0.6598642,0.9417362622231683
62,0,16.398143768310547,0.0,0.0,0,1,1,2.3144197,-0.4403895,0.7398125,0.9407945259609451
63,0,17.43487548828125,0.0,0.0,0,1,1,2.444155,-0.47005895,0.78096706,0.9398537314349842
64,17.0,14.395632266998291,2.1459370217128177,0.0,0,1,4,2.9866538,-0.60465646,0.8864485,0.9389138777035492
65,0,13.405073165893555,0.0,0.0,0,1,1,3.1831057,-0.6468781,1.0140331,0.9379749638258457
66,9.0,12.585728168487549,0.38177061080932617,0.0,0,1,2,3.4820006,-0.7203276,1.0870972,0.9370369888620198
67,8.0,10.178285598754883,1.0547124457010013,0.0,0,1,3,4.028409,-0.85919297,1.220141,0.9360999518731578
68,-1.0,9.6093430519104,0.2133650779724121,0.0,0,1,2,4.435741,-0.9555506,1.3726753,0.9351638519212846
69,0,7.9548234939575195,0.0,0.0,0,1,1,4.629861,-1.0027741,1.4633696,0.9342286880693633
70,0,7.201651573181152,0.0,0.0,0,1,1,4.8210573,-1.047766,1.5263646,0.933294459381294
71,0,7.640775680541992,0.0,0.0,0,1,1,5.0186596,-1.0907524,1.591773,0.9323611649219127
72,0,8.400243759155273,0.0,0.0,0,1,1,5.2144337,-1.131113,1.6553952,0.9314288037569908
73,-1.0,6.4100024700164795,1.118732213973999,0.0,0,1,2,5.61051,-1.2070189,1.7537134,0.9304973749532338
74,0,5.932044982910156,0.0,0.0,0,1,1,5.8211536,-1.2427278,1.8549973,0.9295668775782806
75,5.0,5.493771473566691,1.1942385942539564,0.0,0,1,6,6.9823084,-1.362088,2.0814672,0.9286373107007023
76,0,7.856642723083496,0.0,0.0,0,1,1,7.202206,-1.3736378,2.345808,0.9277086733900016
